"Project","Province","District","Municipality","Capacity (MW)","River","Lic No","Isuue Date","Validity","Promoter","Address","Longitude","Latitude","License Type"
"Aayu Chhatigad Hydropower Project","Province 7","DARCHULA","Apihimal","13.942","Chatti Gad","798","12/21/2073","12/20/2075","Puwa Khola-1 Hydro Power Pvt.Ltd.","Anamnagar-32,Kathmandu,Nepal. GPO 20863, 4102710, Kadam KC 9851159634","80.88152778","29.82013889","Survey"
"Aayu Malun Khola Hydro-Electric Project","Province 1","SOLUKHUMBU","Solududhakunda","21.0","Malun","807","1/15/2074","1/14/2076","Puwa Khola-1 Hydropower Private Limited","Anamnagar-32, Kathmandu Nepal","86.42555556","27.37694444","Survey"
"Adhikhola Storage HEP","Province 5","PALPA","Bagnaskali","180.0","Adhikhola","821","2/4/2074","2/3/2076","Nepal Electricity Authority","Nepal Electricity Authority, Central Office Durbarmarg, Kathmandu 4153054,4153055,4153007","83.66666667","27.95","Survey"
"Akhu Khola-2 HPP","Province 4","GORKHA","Aarughat","20.0","Akhu Khola","749","7/29/2073","7/28/2075","Gorakshya Hydropower Pvt. Ltd.","House no.319,Babarmahal, Kathmandu, 4219730,4225281","84.96263889","28.04013889","Survey"
"Andhi Khola","Province 4","SYANGJA","Bhirkot","9.4","Andhi Khola","2_gtd","1/8/2052","12/30/2101","Butwal Power Company","0","83.68097222","27.93833333","Operation"
"Ankhu Khola","Province 3","NUWAKOT","Kispang","42.9","Ankhu Khola","184","10/27/2073","10/26/2108","Ankhu Hydropower Pvt. Ltd","P.O. Box 19554, Kathmandu, Nepal, Phone no 4033752, 4033753, email: ankhuhp@gmail.com","84.99916667","28.09166667","Generation"
"Ankhu Khola - 1","Province 3","DHADING","Tripura Sundari","7.0","Ankhu Khola","32","8/26/2066","8/25/2101","Ankhu Jalvidut Co. Pvt. Ltd","Kathmandu, Phone 01-4286228, 9841545350, 9851072170","84.91597222","28.0125","Operation"
"Apsuwa I HEP","Province 1","SANKHUWASABHA","Makalu","23.0","Apsuwa","963","8/28/2074","8/27/2076","Ram Janaki Hydropower Pvt. Ltd","Trade Tower Thapathali, Kathmandu","87.14375","27.6","Survey"
"Arun 3","Province 1","SANKHUWASABHA","Chichila","900.0","Arun","375","4/3/2065","10/2/2068","Satluj Jal Vidyut Nigam Limited","Saket New Delhi India 110017, Phone +91-11-41659207","87.26666667","27.54166667","Survey"
"Arun Khola 2 HEP","Province 5","PALPA","Nisdi","2.16","Arun Khola","839","2/24/2074","2/23/2076","Himalayan Engineering and Energy Pvt. Ltd.","Sinamangal -9, Kathmandu, mob no. 9851018901,01-4465976","83.895","27.73041667","Survey"
"Arung Khola","Province 4","NAWALPARASI_E","Madhyabindu","2.0","Arung","704","4/12/2072","4/11/2075","Shakti Hydropower Pvt. Ltd","House No.545,Bagbazar,Kathmandu-31","83.94902778","27.7","Survey"
